Category,Botanical Name,Chinese Name,Height (mm),Spread (mm),3D Asset Brand,Model/Bundle,Status/Notes,Source Sheet
,Acorus gramineus 'Variegatus',花葉石昌蒲,0200,0200,Globe Plants,Bundle 18 Ornamental Grasses light yellow grass,,VG
,Aglaia odorata,米仔蘭,0200,0200,Maxtree,PM_V32 small leaf,,VG
,Asplenium nidus,雀巢芒,0200,0200,Maxtree,PM_V88 big leaf,,VG
,Gardenia jasminoides,白蟬,0200,0200,Maxtree,Vol 35 white flower small leaf,,VG
,Nephrolepis exaltata cv.`Bostoniensis,波士頓蕨,0250,0250,UE,- fern,,VG
,Philodendron’con-go’,金鑽蔓綠絨,0250,0250,Globe Plants,Bundle 30  Interior Pot Plants leaf yellow green,,VG
,Phyllanthus myrtifolius,瘤腺葉下珠,0250,0250,Globe Plants,Bundle 02   Vines and Creepers (3D Model) fern,,VG
,Schefflera arboricola,鴨腳木,0300,0300,Maxtree,MT_PM_V80 `_arboricola_01_01,,VG
,Schefflera arboricola 'Variegata' (Golden),金八葉,0200,0200,Maxtree,MT_PM_V67 leaf green yellow,,VG
,Aglaonema Lady Valentine,吉祥粗肋草,0200,0200,,,,VG
,"Aglaonema ""Red Valentine""",如意粗肋草,0200,0200,,,,VG
,Aglaonema ‘Silver King’,銀王粗肋草,0200,0200,,,,VG
,Aglaonema ‘'Silver Queen’,銀後粗肋草,0200,0200,,,,VG
,Aglaonema ‘White Tip’,白馬粗肋草,0200,0200,,,,VG
,Allamanda cathartica,軟枝黃蟬,0300,0300,,,,VG
,Alternanthera dentate cv. 'Ruliginosa',紅龍草,0200,0200,,,,VG
,Anthurium andreanum,"火鶴花(白花,粉紅花)",0250,0200,,,,VG
,Anthurvium crystallinum,水晶花燭,0250,0200,,,,VG
,Anthurium scherzerianum Schott,紅掌,0200,0200,,,,VG
,Asplenium nidus 'Avis',雀巢芒,0200,0200,,,,VG
,asplenium nidus linn,展葉雀巢蕨,0200,0200,,,,VG
,Begonia rhodophylla,紅葉秋海棠,0200,0200,,,,VG
,Calathea leopardina,斑馬竹芋,0200,0200,,,,VG
,Calathea princeps,綠羽竹芋,0250,0200,,,,VG
,Calathea  roseopicta,彩虹竹芋,0200,0200,,,,VG
,Calathea  roseopicta  (Linden) Regel,雙線竹芋,0200,0200,,,,VG
,Calathea rotundifolia cv.Fasciata,蘋果竹芋,0200,0200,,,,VG
,Calathea triostar,彩葉竹芋,0200,0200,,,,VG
,Chamaedorea elegans,袖珍椰子,0250,0200,,,,VG
,Chlorophytum  comosum cv.Marginatum,白邊吊蘭,0200,0200,,,,VG
,Chlorophytum comosum,全綠吊蘭,0200,0200,,,,VG
,Chlorophytum comosum (Thunb.) Bak.,綠邊吊蘭,0200,0200,,,,VG
,Chlorophytum comosum ocean,寬葉吊蘭,0200,0200,,,,VG
,Codiaeum variegatum,灑金榕,0200,0200,,,,VG
,"Coleus blumei ""green""",洋紫蘇 (青色),0200,0200,,,,VG
,"Coleus blumei ""red""",洋紫蘇 (紅色),0200,0200,,,,VG
,Coleus blumei,洋紫蘇(綠邊紅蕊),0250,0250,,,,VG
,Coleus blumei 'golden',洋紫蘇(金黃色),0250,0250,,,,VG
,Cordyline fruticosa 'Maroon',黑扇朱蕉,0200,0200,,,,VG
,Cryptanthus bivittatus,姬鳳梨,0200,0200,,,,VG
,Davallia mariesii,狼尾蕨,0200,0200,,,,VG
,"Dieffenbachia ""Camilla"" spp",銀邊粉黛萬年青,0200,0200,,,,VG
,"Dieffenbachia "" Compacta"" spp.",佳麗萬年青,0200,0200,,,,VG
,Dieffenbachia Spp.,星光燦爛萬年青,0200,0200,,,,VG
,Dracaena deremensis cv. Warneckii Striata,黃綠紋竹蕉,0200,0200,,,,VG
,Dracaena fragrans,太陽神,0200,0200,,,,VG
,Dracaena marginata cv. Tricolor,彩紋竹蕉,0300,0200,,,,VG
,"Dracaena  reflexa  cv.  ""Aurea Variegata""",金心富貴竹,0200,0200,,,,VG
,Dracaena sanderiana cv. 'Celica',金邊萬年竹/富貴竹,0200,0200,,,,VG
,Epipremnum aureum,黃金葛藤,0100,0300,,,,VG
,Epipremnum pinnatum,黃金葛,0200,0200,,,,VG
,Euphorbia splendens,虎刺梅,0200,0200,,,,VG
,Fatsia japonica,八角金盤 (細種),0250,0250,,,,VG
,Ficus benjamina,長葉榕,0200,0200,,,,VG
,Ficus benjamina Goldie,黃金垂榕,0200,0200,,,,VG
,Ficus benjamina Variegata,花白斑榕,0250,0250,,,,VG
,Ficus elastica,綠金剛,0200,0200,,,,VG
,Hedera helix,常春藤,0200,0200,,,,VG
,Ipomoea cairica,五爪金龍,0200,0200,,,,VG
,Iris tectorum,鳶尾 (藍蝴蝶),0300,0300,,,,VG
,jasminoides (Lindl.)Lem. 'Variegatum',,0,0,,,,VG
,Lantana camara (White),馬纓丹(白色),0200,0200,,,,VG
,Lantana camara (Yellow),馬纓丹(黃色),0200,0200,,,,VG
,Lantanamontevidensis,馬纓丹(紫色),0200,0200,,,,VG
,Liriodendron chinense 'golden',南洋鵝掌揪(金葉),0300,0300,,,,VG
,Medinilla magnifica,寶蓮花,0250,0300,,,,VG
,Murraya paniculata,九裡香,0200,0200,,,,VG
,Neomarica gracilis,巴西鳶尾,0250,0200,,,,VG
,Neottopteris nidus,雀巢芒,0300,0300,,,,VG
,Nephrolepis auriculata,腎蕨,0250,0200,,,,VG
,Ophiopogon jaburan,花葉沿階草,0200,0200,,,,VG
,Pentas lanceolata,繁星花,0200,0200,,,,VG
,Peoperomia claviformis,黑葉椒草,0200,0200,,,,VG
,Peperomia clusiifolia 'Jewelry',五彩椒草,0200,0200,,,,VG
,Peperomia obtusifolia 'Variegata',花葉圓葉椒草/黃金碧玉,0200,0200,,,,VG
,Pilea nummulariifolia,冷水花,0200,0200,,,,VG
,Platycerium willinckii,鹿角蕨,0300,0300,,,,VG
,Plectranthus 'Mona Lavender',紫鳯凰,0300,0300,,,,VG
,Portulaca grandiflora,松葉牡丹,0200,0200,,,,VG
,Pteris ensiformis‘victoriae’,銀脈鳳尾蕨,0200,0250,,,,VG
,Pyrostegia venusta,炮杖花,0300,0300,,,,VG
,Rhoeo spathacea cv. Compacta,小蚌蘭,0100,0100,,,,VG
,Rhoeo spp.,細葉蚌花,0250,0250,,,,VG
,Scheffera actinophylla,亞美鵝掌柴,0200,0200,,,,VG
,Scheffera arboricola var.,花八葉,0300,0300,,,,VG
,Sectcreasea purpurea,紫錦草,0200,0200,,,,VG
,Senecio cineraria,銀葉菊,0200,0200,,,,VG
,Serissa serissoides,滿天星,0200,0200,,,,VG
,Spathiphyllum floribundum,白掌,0300,0300,,,,VG
,Stromanthe sanguinea,紫背竹芋,0300,0300,,,,VG
,Syngonium podophyllum  cv. White Butterfly,白蝴蝶,0200,0200,,,,VG
