ID,Path,Category,SubCategory,Location,Description,Spec,Dimensions,Finish
CH-FB-01,Schedule\KL1\CH-FB-01.jpg,Texture,Fabric,Clubhouse,ESSENZA DESIGNER GUILD ES238-E04,,,Sand
CH-FB-02,Schedule\KL1\CH-FB-02.jpg,Texture,Fabric,Clubhouse,ES240-X01,,,Sand
CH-FB-03,Schedule\KL1\CH-FB-03.jpg,Texture,FabricLeather,Clubhouse,ARCCOMDrifter AC-63619,,,Brown
CH-FB-04,Schedule\KL1\CH-FB-04.jpg,Texture,FabricLeather,Clubhouse,IK-4F-04-ZG50,,,DarkBrown
CH-FB-05,Schedule\KL1\CH-FB-05.jpg,Texture,Fabric,Clubhouse,BRAVOCOLLECTIONBV101-03M25D-U,,,White
CH-FB-06,Schedule\KL1\CH-FB-06.jpg,Texture,Fabric,Clubhouse,,,,
CH-FB-07,Schedule\KL1\CH-FB-07.jpg,Texture,Fabric,Clubhouse,,,,
CH-GL-01,Schedule\KL1\CH-GL-01.jpg,Texture,Glass,Clubhouse,,,,
CH-GL-02,Schedule\KL1\CH-GL-02.jpg,Texture,Mirror,Clubhouse,,,,
CH-GL-03,Schedule\KL1\CH-GL-03.jpg,Texture,Mirror,Clubhouse,,,,
CH-GL-04,Schedule\KL1\CH-GL-04.jpg,Texture,Glass,Clubhouse,,,,
CH-GL-05,Schedule\KL1\CH-GL-05.jpg,Texture,Glass,Clubhouse,,,,
CH-MT-01,Schedule\KL1\CH-MT-01.jpg,Texture,StainlessSteel,Clubhouse,,,,
CH-MT-02,Schedule\KL1\CH-MT-02.jpg,Texture,StainlessSteel,Clubhouse,,,,
CH-PL-01,Schedule\KL1\CH-PL-01.jpg,Texture,PlasticLaminate,Clubhouse,,,,
CH-PL-02,Schedule\KL1\CH-PL-02.jpg,Texture,PlasticLaminate,Clubhouse,,,,
CH-PL-03,Schedule\KL1\CH-PL-03.jpg,Texture,PlasticLaminate,Clubhouse,,,,
CH-PL-04,Schedule\KL1\CH-PL-04.jpg,Texture,PlasticLaminate,Clubhouse,,,,
CH-PL-05,Schedule\KL1\CH-PL-05.jpg,Texture,PlasticLaminate,Clubhouse,,,,
CH-PL-06,Schedule\KL1\CH-PL-06.jpg,Texture,PlasticLaminate,Clubhouse,,,,
CH-PL-07,Schedule\KL1\CH-PL-07.jpg,Texture,PlasticLaminate,Clubhouse,,,,
CH-PL-08,Schedule\KL1\CH-PL-08.jpg,Texture,PlasticLaminate,Clubhouse,,,,
CH-PT-01,Schedule\KL1\CH-PT-01.jpg,Texture,Paint,Clubhouse,,,,
CH-PT-02,Schedule\KL1\CH-PT-02.jpg,Texture,Paint,Clubhouse Lavatory,,,,White
CH-ST-01,Schedule\KL1\CH-ST-01.jpg,Texture,StoneMarble,Clubhouse Lavatory,D0203E1,Flooring,,White
CH-ST-02,Schedule\KL1\CH-ST-02.jpg,Texture,StoneMarble,Clubhouse Lavatory,C0420M2,Flooring,,Brown
CH-ST-03,Schedule\KL1\CH-ST-03.jpg,Texture,StoneMarble,Clubhouse Lavatory,,Flooring,,Black
CH-ST-04,Schedule\KL1\CH-ST-04.jpg,Texture,StoneMarble,Clubhouse,CarporeeAP01,Countertop,,White
CH-ST-05,Schedule\KL1\CH-ST-05.jpg,Texture,StoneMarble,Clubhouse Gameroom,C0619E1,Countertop,,Beige
CH-ST-06,Schedule\KL1\CH-ST-06.jpg,Texture,StoneMarble,Clubhouse Karaoke,NeroPearl,Countertop,,Black
CH-TL-02,Schedule\KL1\CH-TL-02.jpg,Texture,PorcelainTile,Clubhouse Gameroom,Impact,Flooring,,Wood Walnut
CH-TL-03,Schedule\KL1\CH-TL-03.jpg,Texture,CeramicTile,Clubhouse,,,,
CH-TL-04,Schedule\KL1\CH-TL-04.jpg,Texture,CeramicTile,Clubhouse,,,,
CH-TL-05,Schedule\KL1\CH-TL-05.jpg,Texture,PorcelainTile,Clubhouse,,,,
CH-TL-06,Schedule\KL1\CH-TL-06.jpg,Texture,PorcelainTile,Clubhouse,,,,
CH-TL-1A,Schedule\KL1\CH-TL-1A.jpg,Texture,PorcelainTile,Clubhouse Lounge,Piemme,Flooring,,Cream
CH-TL-1B,Schedule\KL1\CH-TL-1B.jpg,Texture,PorcelainTile,Clubhouse Lounge,Piemme,Flooring,,Cream
CH-TL-7A,Schedule\KL1\CH-TL-7A.jpg,Texture,PorcelainTile,Clubhouse,,,,
CH-TL-7B,Schedule\KL1\CH-TL-7B.jpg,Texture,PorcelainTile,Clubhouse,,,,
CH-VL-1A,Schedule\KL1\CH-VL-1A.jpg,Texture,Vinyl,Clubhouse,,,,
CH-VL-1B,Schedule\KL1\CH-VL-1B.jpg,Texture,Vinyl,Clubhouse,,,,
CH-VL-2A,Schedule\KL1\CH-VL-2A.jpg,Texture,Vinyl,Clubhouse,,,,
CH-VL-2B,Schedule\KL1\CH-VL-2B.jpg,Texture,Vinyl,Clubhouse,,,,
CH-WD-01,Schedule\KL1\CH-WD-01.jpg,Texture,WoodVeneer,Clubhouse Gym,“Challpac” NAV Frassino,Ceiling Wall,,Light Oak
CH-WD-02,Schedule\KL1\CH-WD-02.jpg,Texture,WoodVeneer,Clubhouse,“Keding” K6121AN,Wall,,Walnut
CH-WD-03,Schedule\KL1\CH-WD-03.jpg,Texture,WoodVeneer,Clubhouse Gameroom,“Challpac” Spicewoo,Ceiling,,Walnut
CH-WD-04,Schedule\KL1\CH-WD-04.jpg,Texture,WoodVeneer,Clubhouse,,Wall,,
CH-WD-05,Schedule\KL1\CH-WD-05.jpg,Texture,WoodVeneer,Clubhouse,,,,
F-01,Schedule\KL1\Blakey.jpg,Furniture,SeatingBench,Lobby GF,,,,
F-02,Schedule\KL1\Brasilia.jpg,Furniture,TableDining,Clubhouse,,,,
F-03,Schedule\KL1\Byron.jpg,Furniture,SeatingSideChair,Clubhouse,,,,
F-04,Schedule\KL1\ClearanceBenches47.jpg,Furniture,SeatingArmchair,Clubhouse,,,,
F-05,Schedule\KL1\GropiusCS2.jpg,Furniture,TableCoffee,Clubhouse,,,,
F-06,Schedule\KL1\Kl1CustomTableChildren.jpg,Furniture,SeatingSofa,Clubhouse,,,,
F-07,Schedule\KL1\Lucian.jpg,Furniture,TableSide,Clubhouse,,,,
F-08,Schedule\KL1\Marcel.jpg,Furniture,SeatingBench,Clubhouse,,,,
F-09,Schedule\KL1\Metallo.jpg,Furniture,TableChildren,Kidsroom,,,,
F-10,Schedule\KL1\MomentyZin.jpg,Furniture,SeatingChildren,Kidsroom,,,,
F-11,Schedule\KL1\PomPomMain.png,Furniture,StorageCrendenza,Clubhouse Relax,,,,
F-12,Schedule\KL1\SM_KL1CustomSofa1.jpg,Furniture,TableSide,Clubhouse Study,,,,
F-13,Schedule\KL1\SM_KL1CustomStoolChildren.jpg,Furniture,SeatingBarStool,Clubhouse,,,,
F-14,Schedule\KL1\Virgola.jpg,Furniture,SeatingSofa,Clubhouse Karaoke,,,,
F-15,Schedule\KL1\Willow.webp,Furniture,SeatingSideChair,Clubhouse,,,,
,126,Furniture,Sculpture,Lobby GF,,,,
,127,Furniture,Sculpture,Lobby GF,,,,
,128,Furniture,Sculpture,Lobby GF,,,,
,129,Texture,Painting,Lobby GF,,,,
,130,Texture,Painting,Lobby GF,,,,
,131,Texture,Painting,Lobby GF,,,,
,132,Furniture,TableReception,Lobby GF,,,,
,133,Furniture,TableLamp,Lobby GF,,,,
,134,Fixture,Mailbox,Lobby GF,,,,
,135,Furniture,SeatingBarStool,,,,,
,136,Furniture,SeatingArmchair,,,,,
,137,Furniture,TableDining,,,,,
,138,Furniture,SeatingBench,,,,,
,139,Furniture,SeatingSideChair,,,,,
,140,Furniture,TableChildren,,,,,
,141,Furniture,SeatingBench,,,,,
,142,Furniture,StorageCrendenza,,,,,
,143,Furniture,TableCoffee,,,,,
,144,Furniture,SeatingSofa,,,,,
,145,Furniture,TableSide,,,,,
,146,Furniture,SeatingSofa,,,,,
,147,Furniture,SeatingChildren,,,,,
,148,Furniture,SeatingSideChair,,,,,
,149,Furniture,TableSide,,,,,
,150,Furniture,TableLamp,,,,,
,151,Furniture,Sculpture,,,,,
,152,Furniture,Sculpture,,,,,
,153,Furniture,Sculpture,,,,,
,154,Furniture,TableReception,,,,,
E-LFB-02,Schedule\KL1\E-LFB-02.jpg,Texture,,,,,,
E-LGL-01,Schedule\KL1\E-LGL-01.jpg,Texture,Mirror,,,Black,,
E-LGL-03,Schedule\KL1\E-LGL-03.jpg,Texture,Glass,,,Grey,,
E-LGL-04,Schedule\KL1\E-LGL-04.jpg,Texture,Glass,,,Clear,,
E-LMT-01,Schedule\KL1\E-LMT-01.jpg,Texture,StainlessSteel,CH8448,1219 x 2438,Black,BeadBlasted,
E-LMT-02,Schedule\KL1\E-LMT-02.jpg,Texture,StainlessSteel,CH3012,1219 x 2438,Bronze,BeadBlasted,
E-LMT-03,Schedule\KL1\E-LMT-03.jpg,Texture,StainlessSteel,GalaxyBlack,1219 x 2438,Black,Hammered,
E-LPL-01,Schedule\KL1\E-LPL-01.jpg,Texture,PlasticLaminate,2728EV,1220x2440,Oak,Matte,
E-LPL-02,Schedule\KL1\E-LPL-02.jpg,Texture,PlasticLaminate,8270JTravertino,,Beige,Matte,
E-LPL-03,Schedule\KL1\E-LPL-03.jpg,Texture,PlasticLaminate,Arpa3354,1220x2440,Grey,Matte,
E-LPL-04,Schedule\KL1\E-LPL-04.jpg,Texture,PlasticLaminate,CORACR6317MH,,,,
E-LPT-01,Schedule\KL1\E-LPT-01.jpg,Texture,PlasticLaminate,BFR110,,White,Matte,
E-LST-01,Schedule\KL1\E-LST-01.jpg,Texture,StoneMarble,DanaLight,,Grey,Polished,
E-LST-01B,Schedule\KL1\E-LST-01B.jpg,Texture,StoneMarble,TblueLightGrey,1600x2400,Grey,Polished,
E-LST-02,Schedule\KL1\E-LST-02.jpg,Texture,Mosaic,Acutti,,White,Polished,BasketWeave
E-LST-03,Schedule\KL1\E-LST-03.jpg,Texture,StoneMarble,TblueLightGrey,,Grey,Polished,
E-LST-04,Schedule\KL1\E-LST-04.jpg,Texture,StoneTerrazzo,東星無機水磨石,1600x2400,White,,
E-LST-05,Schedule\KL1\E-LST-05.jpg,Texture,StoneTerrazzo,GreyC0621E1,,Grey,Matte,
E-LTL-01,Schedule\KL1\E-LTL-01.jpg,Texture,Porcelain,NewdecoSandNat,1200x1200,Sand,Matte,
E-LTL-02,Schedule\KL1\E-LTL-02.jpg,Texture,Porcelain,Florim,600x1200,Brown,Matte,
E-LTL-03,Schedule\KL1\E-LTL-03.jpg,Texture,Porcelain,KeopeEclecticPersian,600x1200,Grey,Matte,
E-LWC-01,Schedule\KL1\E-LWC-01.jpg,Texture,Wallpaper,KGDEF1120,,,Matte,
E-LWC-02,Schedule\KL1\E-LWC-02.jpg,Texture,PorcelainTile,BV145SKL,,,Matte,
E-LWD-01,Schedule\KL1\E-LWD-01.jpg,Texture,PorcelainTile,ChallpacNAVFrassino,,,Matte,
T-LGL-01,Schedule\KL1\T-LGL-01.jpg,Texture,Glass,,,Clear,,
T-LGL-02,Schedule\KL1\T-LGL-02.jpg,Texture,Glass,,,Grey,,
T-LGL-03,Schedule\KL1\T-LGL-03.jpg,Texture,Glass,,,Grey,Tinted,
T-LMT-01,Schedule\KL1\T-LMT-01.jpg,Texture,StainlessSteel,CH8448,Slab : 1219 x 2438 x 1.2 THK,,Bead Blasted,304
T-LMT-02,Schedule\KL1\T-LMT-02.jpg,Texture,StainlessSteel,CH3012,Slab: 1219 x 2438 x 1.2,Bronze,Bead Blasted,
T-LMT-03,Schedule\KL1\T-LMT-03.jpg,Texture,StainlessSteel,CH7592,,Black,Matte,
T-LMT-04,Schedule\KL1\T-LMT-04.jpg,Texture,StainlessSteel,,,,,
T-LMT-05,Schedule\KL1\T-LMT-05.jpg,Texture,StainlessSteel,CH2341,,,Matte,
T-LMT-06,Schedule\KL1\T-LMT-06.jpg,Texture,StainlessSteel,CH5952,,DarkBrown,Hairline,
T-LPL-01,Schedule\KL1\T-LPL-01.jpg,Texture,PlasticLaminate,Formica CORA CR9440NT,,,,
T-LPL-02,Schedule\KL1\T-LPL-02.jpg,Texture,PlasticLaminate,Crown HC899021T,,,,
T-LPL-03,Schedule\KL1\T-LPL-03.jpg,Texture,PlasticLaminate,Crown HB 166887T,,,,
T-LPT-01,Schedule\KL1\T-LPT-01.jpg,Texture,Paint,ICI –Natural White 50YY 83/029,,,Eggshell,
T-LPT-02,Schedule\KL1\T-LPT-02.jpg,Texture,Paint,Special paint,,,,
T-LTL-01,Schedule\KL1\T-LTL-01.jpg,Texture,PorcelainTile,“Impactile” CH1213AS,1200 x 600 x 9.5mm THK,,Polished,
T-LTL-02,Schedule\KL1\T-LTL-02.jpg,Texture,PorcelainTile,,Slab: 600 x 600 x 9mm THK,,FLAKE Beige Medium Soft,
T-LTL-03,Schedule\KL1\T-LTL-03.jpg,Texture,CeramicTile,Regles top tabac (G12),Slab: 150 x 250 x 9mm THK,,,
T-LTL-04,Schedule\KL1\T-LTL-04.jpg,Texture,PorcelainTile,“Impactile” CH1213AS,1200 x 600 x 9.5mm THK Polished,,,Polished
T-LTL-05,Schedule\KL1\T-LTL-05.jpg,Texture,PorcelainTile,“Marazzi” Grande Marble Look Frapuccino Lux,1600 x 3200 x 6mm THK,,,Polished
T-LWD-01,Schedule\KL1\T-LWD-01.jpg,Texture,WoodVeneer,K6187BS,Slab: 1200 x 2400 x 3mm THK.,,,
