Path,Label,Subject,Status,Date,Engine
F:\PLS\pls-shared\A_TowerLiftLobby.mp4,Animation01,,OK,,
F:\PLS\pls-shared\A_MainEntranceInterior.mp4,Animation02,,OK,,
F:\PLS\pls-shared\A_Lounge.mp4,Animation03,Clubhouse,OK,,
F:\PLS\pls-shared\A_Gym.mp4,Animation04,Gym,OK,,
F:\PLS\pls-shared\A_GfLobbyLift.mp4,Animation05,,OK,,
F:\PLS\pls-shared\A_FunctionRoom.mp4,Animation06,Clubhouse,OK,,
F:\PLS\pls-shared\A_Facade2.mp4,Animation07,,OK,,
F:\PLS\pls-shared\A_Facade.mp4,Animation08,,OK,,
F:\PLS\pls-shared\A_28ASpecialUnitStairs.mp4,Animation09,,OK,,
F:\PLS\pls-shared\A_28ASpecialUnitFlatRoof.mp4,Animation10,,OK,,
