Path,Label,Subject,Status,Date,Engine
F:\PLS\pls-shared\1BR27ELoft.png,Rendering01,27E1Bedroom,OK,20251212,Fusion
F:\PLS\pls-shared\1BR27ELoftBalcony.png,Rendering02,27E1Bedroom,OK,20251212,Fusion
F:\PLS\pls-shared\Bathroom10F2BR.png,Rendering03,10/F2Bedroom,OK,20251212,Fusion
F:\PLS\pls-shared\Facade.png,Rendering04,,OK,20251212,Fusion
F:\PLS\pls-shared\FlatRoof2ABC.png,Rendering05,1/FlatroofABC,OK,20251212,Fusion
F:\PLS\pls-shared\FunctionRoom.png,Rendering06,Clubhouse,OK,20251212,Fusion
F:\PLS\pls-shared\GFLobby.png,Rendering07,Clubhouse,OK,20251212,Direct
F:\PLS\pls-shared\Gym.png,Rendering08,Clubhouse,OK,20251212,Fusion
F:\PLS\pls-shared\HeroShot4.png,Rendering09,,OK,20251212,Direct
F:\PLS\pls-shared\KitchenUnitA.png,Rendering10,TypicalUnitA,OK,20251212,Fusion
F:\PLS\pls-shared\LivingRoomUnitA.png,Rendering11,TypicalUnitA,OK,20251212,Fusion
F:\PLS\pls-shared\Lounge4.png,Rendering12,Clubhouse,OK,20251212,Direct
F:\PLS\pls-shared\MainEntrance.png,Rendering13,,OK,20251212,Fusion
F:\PLS\pls-shared\Podium3.png,Rendering14,,OK,20251212,Direct
F:\PLS\pls-shared\SpecialUnit28A3.png,Rendering15,28/F,OK,20251212,Direct
F:\PLS\pls-shared\SpecialUnit28ABFlatRoof2.png,Rendering16,28/F,OK,20251212,Direct
F:\PLS\pls-shared\SpecialUnit28ABFlatRoof2Stairs.png,Rendering17,,OK,20251212,Direct
F:\PLS\pls-shared\Tower6.png,Rendering18,,OK,20251212,Direct
