ID,Path,Category,SubCategory,Location,Description,Spec,Dimensions,Finish
,Schedule\MWR\Abelia x grandiflora ‘Francis Mason’.jpg,Vegetation,Plant,,750,Abelia X Grandiflora ‘Francis Mason’,金葉六道木,
,Schedule\MWR\Acacia podalyriifolia.jpg,Vegetation,Plant,,1200,Acacia Podalyriifolia,珍珠合歡,
,Schedule\MWR\Agapanthus africanus.jpg,Vegetation,Flower,,300,Agapanthus Africanus,百子蓮,
,Schedule\MWR\Aglaia odorata.jpg,Vegetation,Plant,,400,Aglaia Odorata,米仔蘭, 
,Schedule\MWR\Angelonia salicariifolia.jpg,Vegetation,Flower,,300,Angelonia Salicariifolia,天使花,
,Schedule\MWR\Aquilaria sinensis.jpg,Vegetation,Tree,,3000,Aquilaria Sinensis,土沉香,
,Schedule\MWR\Artemisia abrotanum.jpg,Vegetation,Plant,,600,Artemisia Abrotanum,中亞苦蒿,
,Schedule\MWR\Asclepias curassavica.png,Vegetation,Flower,,600,Asclepias Curassavica.Png,馬利筋,
,Schedule\MWR\Asparagus densiflorus 'Myersii'.jpg,Vegetation,Plant,,400,Asparagus Densiflorus 'Myersii',狐尾天門冬,
,Schedule\MWR\Asplenium nidus.jpg,Vegetation,Plant,,750,Asplenium Nidus,鳥巢蕨,
,Schedule\MWR\Belamcanda chinensis.jpg,Vegetation,Flower,,300,Belamcanda Chinensis,射干,
,Schedule\MWR\Bougainvillea spectabilis.png,Vegetation,Plant,,900,Bougainvillea Spectabilis.Png,簕杜鵑,CASCADING 
,Schedule\MWR\Camellia Pink.jpg,Vegetation,Plant,,1500,Camellia Pink,山茶花,
,Schedule\MWR\Carex oshimensis ‘Evergold’.jpg,Vegetation,Plant,,250,Carex Oshimensis ‘Evergold’,金絲苔,
,Schedule\MWR\Casaurina Glauca ‘Greenwave.jpg,Vegetation,Plant,,1000,Casaurina Glauca ‘Greenwave,粗枝木麻黃,
,Schedule\MWR\Casaurina glauca ‘Greenwave’.jpg,Vegetation,Plant,,750,Casaurina Glauca ‘Greenwave’,粗枝木麻黃,SPHERICAL 
,Schedule\MWR\Cassia fistula.jpg,Vegetation,Tree,Yellow,4000/3000,Cassia Fistula,臘腸樹,
,Schedule\MWR\Cassia nodosa.jpg,Vegetation,Tree,Pink,5000,Cassia Nodosa,節果決明,
,Schedule\MWR\Catharanthus roseus.jpg,Vegetation,Flower,Pink,300,Catharanthus Roseus,長春花,
,Schedule\MWR\Celtis sinensis.jpg,Vegetation,Tree,,5000,Celtis Sinensis,朴樹,
